[['E', 'V', 'A', 'N', 'S'], ['S', '.', 'O', 'N', 'C'], ['C', 'A', 'N', 'E', 'E'], ['H', 'E', 'I', '.', 'M'], ['E', 'R', 'E', 'D', 'E']]
[['T', 'E', 'M', 'I', '.'], ['I', 'T', 'A', 'L', 'A'], ['P', 'I', 'T', 'O', 'T'], ['E', 'L', 'I', 'T', 'E'], ['.', 'I', 'N', 'I', 'A']]
[['E', 'O', 'L', 'I', 'O'], ['G', 'M', '.', 'U', 'T'], ['I', 'E', 'L', 'L', 'A'], ['D', 'G', '.', 'I', 'R'], ['A', 'A', 'R', 'A', 'U']]
[['H', 'A', 'R', 'D', 'Y'], ['O', '.', 'E', 'V', 'E'], ['T', 'O', 'N', 'D', 'A'], ['E', 'M', 'E', '.', 'T'], ['L', 'O', 'E', 'S', 'S']]
[['B', 'O', 'I', 'S', 'E'], ['X', 'A', 'N', 'T', 'O'], ['.', 'S', 'D', 'A', '.'], ['R', 'I', 'I', 'N', 'A'], ['E', 'S', 'O', 'S', 'I']]
[['D', 'E', 'G', 'N', 'E'], ['E', '.', 'A', 'E', 'R'], ['L', 'I', 'E', 'G', 'I'], ['T', 'O', 'T', '.', 'K'], ['A', 'D', 'A', 'N', 'A']]
[['E', '.', 'S', 'P', 'M'], ['C', 'O', 'L', 'U', 'I'], ['A', 'M', 'A', 'R', 'O'], ['T', 'A', 'N', 'I', 'S'], ['E', 'R', 'G', '.', 'I']]
[['R', 'I', 'E', 'H', 'L'], ['I', 'S', 'S', 'O', '.'], ['M', 'A', 'T', 'T', 'I'], ['.', 'A', 'R', 'E', 'S'], ['S', 'C', 'O', 'L', 'O']]
[['I', 'S', 'A', 'A', 'C'], ['A', 'E', '.', 'S', 'L'], ['R', 'O', 'S', 'P', 'I'], ['D', 'U', '.', 'R', 'F'], ['E', 'L', 'I', 'O', 'T']]
[['D', 'I', 'N', '.', 'S'], ['R', 'U', 'O', 'T', 'A'], ['O', 'T', 'A', 'R', 'U'], ['G', 'A', 'L', 'A', 'N'], ['O', '.', 'E', 'P', 'E']]
[['A', 'N', 'G', 'U', 'S'], ['N', 'E', 'R', 'B', 'I'], ['N', 'V', '.', 'B', 'T'], ['A', 'I', 'T', 'I', 'A'], ['M', 'O', 'S', 'E', 'R']]
[['S', 'L', 'A', 'V', 'E'], ['G', 'U', 'F', 'I', '.'], ['P', 'A', 'R', 'R', 'I'], ['.', 'N', 'I', 'N', 'A'], ['L', 'A', 'C', 'A', 'N']]
[['M', 'A', 'D', 'A', 'R'], ['E', 'O', 'L', 'I', 'O'], ['D', 'S', '.', 'U', 'S'], ['O', 'T', 'I', 'T', 'E'], ['C', 'A', 'N', 'O', 'E']]
[['C', '.', 'M', 'O', 'S'], ['E', 'F', 'E', 'B', 'I'], ['S', 'E', 'N', 'O', 'R'], ['A', 'D', 'D', 'I', 'I'], ['R', 'E', 'A', '.', 'O']]
[['D', 'Y', '.', 'S', 'I'], ['R', 'E', 'G', 'A', 'N'], ['U', 'N', 'I', 'C', 'A'], ['S', 'T', 'A', 'R', 'R'], ['I', 'L', '.', 'O', 'I']]
[['T', 'Y', 'L', 'E', 'R'], ['R', 'E', 'I', 'C', 'H'], ['I', '.', 'G', '.', 'E'], ['T', 'W', 'I', 'S', 'T'], ['E', 'V', 'E', 'R', 'T']]
[['.', 'A', 'I', 'D', 'A'], ['H', 'O', 'N', 'A', 'N'], ['E', 'S', 'T', 'R', 'O'], ['S', 'T', 'E', 'I', 'N'], ['S', 'A', 'L', 'A', '.']]
[['F', 'U', 'L', 'V', 'A'], ['O', 'X', '.', 'I', 'C'], ['S', 'M', 'A', 'S', 'H'], ['C', 'A', '.', 'I', 'E'], ['O', 'L', 'I', 'R', 'E']]
[['E', 'X', 'T', 'R', 'A'], ['T', 'E', 'M', 'P', 'I'], ['I', '.', 'E', '.', 'U'], ['L', 'I', 'S', 'Z', 'T'], ['I', 'R', 'I', 'D', 'I']]
[['L', 'O', 'T', 'U', 'S'], ['I', 'T', 'O', '.', 'C'], ['Z', 'E', 'P', 'P', 'O'], ['Z', '.', 'A', 'P', 'P'], ['A', 'N', 'Z', 'I', 'O']]
[['A', 'L', 'T', 'E', 'A'], ['S', '.', 'R', 'P', 'G'], ['S', 'P', 'E', 'C', 'O'], ['A', 'I', 'N', '.', 'N'], ['B', 'E', 'T', 'T', 'I']]
[['A', 'M', 'A', 'T', 'E'], ['S', 'F', 'O', 'G', 'O'], ['A', '.', 'R', '.', 'L'], ['R', 'O', 'T', 'T', 'I'], ['O', 'S', 'A', 'T', 'E']]
[['I', 'C', 'O', 'R', 'E'], ['G', 'H', '.', 'E', 'M'], ['N', 'I', 'E', 'V', 'O'], ['E', 'N', '.', 'A', 'J'], ['A', 'G', 'I', 'L', 'I']]
[['S', 'A', 'N', 'I', '.'], ['A', 'C', 'A', 'Z', 'I'], ['M', 'A', 'R', 'M', 'O'], ['P', 'I', 'N', 'I', 'N'], ['.', 'A', 'I', 'R', 'E']]
[['S', 'A', 'S', 'S', 'U'], ['A', '.', 'F', 'S', 'M'], ['P', 'R', 'U', 'N', 'I'], ['R', 'O', 'S', '.', 'D'], ['I', 'N', 'I', 'G', 'O']]
[['E', 'A', 'M', 'O', 'N'], ['M', 'Q', '.', 'B', 'A'], ['O', 'A', 'S', 'I', 'S'], ['J', 'B', '.', 'C', 'S'], ['I', 'A', 'L', 'E', 'A']]
